Date,Open,High,Low,Close,Adj Close,Volume
1/2/2015,5.0325,5.07,4.9525,5.0325,4.837623,11368000
1/5/2015,5.0325,5.0475,4.925,4.9475,4.755916,19795200
1/6/2015,4.955,4.96,4.7925,4.7975,4.611725,19776400
1/7/2015,4.8325,4.875,4.77,4.785,4.599708,32180800
1/8/2015,4.84,4.995,4.8375,4.965,4.772738,28378000
1/9/2015,4.9825,5.0225,4.915,4.985,4.791964,20954000
1/12/2015,4.9975,5,4.8775,4.9225,4.731883,19073200
1/13/2015,4.96,5.06,4.88,4.915,4.724673,23672000
1/14/2015,4.8625,4.95,4.85,4.935,4.743899,15526000
1/15/2015,4.97,5,4.8975,4.9,4.710254,18893200
1/16/2015,4.8925,4.995,4.8775,4.99,4.796768,18151200
1/20/2015,5.025,5.0525,4.9425,5.005,4.811189,14030800
1/21/2015,4.9775,5.0875,4.9425,5.075,4.878478,14478000
1/22/2015,5.085,5.1775,5.0325,5.1625,4.962589,15971200
1/23/2015,5.1675,5.1875,5.125,5.1775,4.977008,12041600
1/26/2015,5.155,5.18,5.1225,5.155,4.955381,13324000
1/27/2015,5.075,5.08,4.8975,4.9075,4.717465,35794800
1/28/2015,4.9675,4.9875,4.825,4.8275,4.640562,27272800
1/29/2015,4.83,4.9725,4.8075,4.945,4.753511,23534000
1/30/2015,4.91,4.9675,4.7925,4.8,4.614126,29820000
2/2/2015,4.83,4.925,4.735,4.905,4.715061,25960400
2/3/2015,4.94,5.0325,4.915,5.0275,4.832817,18346800
2/4/2015,5.0125,5.0975,4.9975,5.04,4.844833,18151600
2/5/2015,5.045,5.125,5.04,5.1225,4.924138,14044800
2/6/2015,5.1175,5.1775,5.0775,5.1,4.90251,21052400
2/9/2015,5.07,5.11,5.0375,5.095,4.897703,27394400
2/10/2015,5.1,5.24,5.0775,5.2375,5.034687,22620400
2/11/2015,5.25,5.25,5.1675,5.2025,5.00104,32083200
2/12/2015,5.5,5.625,5.4675,5.575,5.359116,67690400
2/13/2015,5.5625,5.585,5.4775,5.5775,5.361519,31008400
2/17/2015,5.5675,5.6225,5.5325,5.595,5.378342,20334000
2/18/2015,5.5875,5.5975,5.52,5.53,5.315858,17094800
2/19/2015,5.6,5.61,5.52,5.545,5.330277,16943200
