Date,Open,High,Low,Close,Adj Close,Volume
12/13/2021,302.48999,302.940002,281.160004,281.609985,281.502502,59834400
12/14/2021,276.98999,286.779999,272.5,283.369995,283.261841,66703500
12/15/2021,284,305,278.380005,304.589996,304.473755,69829700
12/16/2021,311.519989,311.600006,280.929993,283.869995,283.761627,70736600
12/17/2021,279.850006,289.220001,277.600006,278.01001,277.9039,71375800
12/20/2021,273.049988,281.440002,271.450012,277.190002,277.084229,46184700
12/21/2021,283.73999,291.200012,274.01001,290.75,290.639038,52438500
12/22/2021,288.910004,295.549988,284.48999,294,293.887787,39518400
12/23/2021,297.549988,300.589996,294.309998,296.399994,296.286865,34302200
12/27/2021,296.600006,310.869995,296.399994,309.450012,309.331909,40368600
12/28/2021,313.119995,313.299988,300.119995,303.220001,303.104248,42059100
12/29/2021,302.730011,305.480011,293.660004,300.01001,299.895508,34313900
12/30/2021,298.269989,304.570007,295.399994,295.859985,295.74707,30886400
12/31/2021,296.73999,300.299988,293.309998,294.109985,293.997711,26653000
1/3/2022,298.149994,307.109985,297.850006,301.209991,301.095032,39154700
1/4/2022,302.769989,304.679993,283.48999,292.899994,292.788208,52715400
1/5/2022,289.48999,294.160004,275.329987,276.040009,275.934662,49806400
1/6/2022,276.399994,284.380005,270.649994,281.779999,281.672455,45418600
1/7/2022,281.410004,284.220001,270.570007,272.470001,272.365997,40993900
1/10/2022,265.809998,274.690002,256.440002,274,273.895447,59468100
1/11/2022,273.230011,280.649994,268.390015,278.170013,278.063843,40408900
1/12/2022,280.670013,285.950012,276.079987,279.98999,279.883118,38341300
1/13/2022,283.790009,284.799988,264.980011,265.75,265.64859,54017100
1/14/2022,263,271.970001,262.100006,269.420013,269.317169,39583200
1/18/2022,262.600006,266.380005,257.700012,259.029999,258.931122,42427000
1/19/2022,260.790009,265.429993,250.520004,250.669998,250.574326,48831500
1/20/2022,253.039993,255.789993,240.779999,241.5,241.407822,43518100
1/21/2022,235.070007,248.229996,232.630005,233.740005,233.650803,71895800
1/24/2022,223.300003,233.800003,208.880005,233.720001,233.630798,91398200
1/25/2022,225.460007,229.429993,220,223.240005,223.1548,66461600
1/26/2022,232.399994,240.570007,223,227.720001,227.633087,75595900
1/27/2022,235.679993,239.949997,216.75,219.440002,219.356247,57335300
1/28/2022,220.119995,228.580002,212.960007,228.399994,228.31282,54377400
1/31/2022,231.820007,245.089996,230.520004,244.860001,244.766541,56468000
