Date,Open,High,Low,Close,Adj Close,Volume
1/2/2015,23.030001,23.110001,22.75,23.01,19.004354,5009300
1/5/2015,22.84,22.950001,22.57,22.690001,18.740059,7039700
1/6/2015,21.889999,22.77,21.889999,22.299999,18.417952,7835600
1/7/2015,22.48,22.77,22.35,22.620001,18.682245,5839900
1/8/2015,22.93,23.49,22.9,23.35,19.28517,9533600
1/9/2015,23.379999,23.469999,23.219999,23.309999,19.252129,6461700
1/12/2015,23.379999,23.450001,23.08,23.280001,19.227358,5867000
1/13/2015,23.41,23.889999,22.950001,23.15,19.119984,9155900
1/14/2015,22.91,23.27,22.74,23.25,19.202576,6829000
1/15/2015,23.799999,23.799999,23.01,23.02,19.012615,9173200
1/16/2015,22.950001,23.290001,22.790001,23.17,19.136503,9960800
1/20/2015,23.35,23.360001,22.92,23.15,19.119984,8305300
1/21/2015,23.07,23.33,22.83,23.290001,19.235613,8283000
1/22/2015,23.440001,23.75,23.27,23.719999,19.590755,6610300
1/23/2015,23.690001,23.93,23.629999,23.85,19.698126,6603100
1/26/2015,23.75,24.120001,23.540001,23.91,19.747677,8039600
1/27/2015,23.709999,24.98,23.700001,24.73,20.424932,16548000
1/28/2015,24.870001,25.16,24.17,24.219999,20.00371,14824600
1/29/2015,24.360001,24.360001,23.27,23.790001,19.648573,14157400
1/30/2015,23.65,24.15,23.610001,23.77,19.632053,11472400
2/2/2015,23.870001,24.190001,23.23,24.15,19.945902,9573700
2/3/2015,24.17,24.4,23.950001,24.35,20.111084,9609500
2/4/2015,24.309999,24.52,24.15,24.27,20.045015,9187700
2/5/2015,24.219999,24.65,24.17,24.48,20.218449,8666000
2/6/2015,24.5,24.65,24.17,24.209999,19.995457,10167100
2/9/2015,24.219999,24.51,24.17,24.24,20.020231,7757300
2/10/2015,24.41,24.9,24.200001,24.85,20.524042,8829900
2/11/2015,24.84,24.870001,24.43,24.549999,20.276266,5990300
2/12/2015,24.629999,25.049999,24.610001,24.860001,20.532303,7373200
2/13/2015,24.860001,25.030001,24.76,25,20.647923,6191200
2/17/2015,24.959999,25,24.530001,24.6,20.317564,6591400
2/18/2015,24.639999,24.690001,24.370001,24.629999,20.34234,6260200
2/19/2015,24.6,24.75,24.5,24.65,20.358858,7059100
2/20/2015,24.59,24.959999,24.26,24.959999,20.614887,6922500
2/23/2015,24.940001,24.959999,24.719999,24.780001,20.466227,4922100
2/24/2015,24.74,24.82,24.57,24.780001,20.466227,5006500
2/25/2015,24.58,24.719999,24.43,24.6,20.416428,5410500
2/26/2015,24.6,24.790001,24.41,24.469999,20.308538,6489700
2/27/2015,24.5,24.67,24.34,24.4,20.250444,7660000
3/2/2015,24.32,24.65,24.25,24.629999,20.44133,6902000
3/3/2015,24.57,24.870001,24.48,24.6,20.416428,7297600
3/4/2015,24.5,24.889999,24.280001,24.75,20.540918,7113900
3/5/2015,24.700001,24.85,24.559999,24.620001,20.433029,4808100
3/6/2015,24.530001,24.620001,23.98,24.030001,19.943371,6211300
3/9/2015,24.040001,24.139999,23.639999,23.76,19.719284,9646200
3/10/2015,23.58,23.58,23.040001,23.049999,19.130032,11204600
3/11/2015,23.23,23.23,22.66,22.700001,18.839556,10838000
3/12/2015,22.75,23.17,22.549999,23.129999,19.196424,10354100
3/13/2015,22.959999,23.120001,22.639999,23,19.088533,7769000
3/16/2015,23.17,23.73,23.139999,23.709999,19.677786,7456100
3/17/2015,23.68,23.709999,23.370001,23.370001,19.395607,7177700
3/18/2015,23.25,23.860001,23.129999,23.76,19.719284,6871200
3/19/2015,23.620001,23.700001,23.07,23.129999,19.196424,8291200
3/20/2015,23.190001,23.6,23.17,23.389999,19.41221,12800900
3/23/2015,23.379999,23.639999,23.360001,23.469999,19.478603,5931100
3/24/2015,23.5,23.610001,23.4,23.41,19.428808,6116500
3/25/2015,23.450001,23.57,22.690001,22.709999,18.847855,9335800
3/26/2015,22.610001,22.620001,22.25,22.469999,18.648672,12019900
3/27/2015,22.52,22.77,22.41,22.74,18.872751,4843200
3/30/2015,22.9,23.299999,22.9,23.24,19.287718,6636900
3/31/2015,23.129999,23.129999,22.610001,22.68,18.822952,8067500
4/1/2015,22.620001,22.66,22.190001,22.25,18.466087,9290200
4/2/2015,22.209999,22.440001,22.07,22.32,18.524174,9155000
4/6/2015,22.219999,22.469999,22.1,22.370001,18.565678,8828900
4/7/2015,22.370001,22.379999,21.969999,22,18.258593,8084100
4/8/2015,22.040001,22.18,21.76,22.059999,18.308397,11006700
4/9/2015,22.040001,22.280001,22.01,22.24,18.457783,8297200
4/10/2015,22.280001,22.43,22.190001,22.42,18.60717,6751000
4/13/2015,22.469999,22.719999,22.33,22.360001,18.557381,6653700
4/14/2015,22.389999,22.49,22.08,22.34,18.540771,7289400
4/15/2015,22.42,22.58,22.32,22.33,18.532482,7181400
4/16/2015,22.27,22.75,22.25,22.639999,18.789759,9309700
4/17/2015,22.43,22.459999,22.1,22.459999,18.640373,9955900
4/20/2015,22.58,22.92,22.530001,22.68,18.822952,8010900
4/21/2015,22.860001,22.9,22.4,22.610001,18.764862,8105600
4/22/2015,22.5,22.59,22.049999,22.440001,18.62377,7870500
4/23/2015,22.360001,22.98,22.360001,22.790001,18.914251,10749200
4/24/2015,22.85,22.870001,22.440001,22.52,18.690166,7346400
4/27/2015,22.559999,22.799999,22.299999,22.379999,18.573971,12915800
4/28/2015,22.299999,22.360001,21.76,22.07,18.31669,16599600
4/29/2015,21.77,21.780001,20.870001,21.360001,17.72744,22635100
4/30/2015,21.280001,21.440001,20.700001,20.93,17.370565,14806800
5/1/2015,21.02,21.450001,21.02,21.440001,17.793839,10765500
5/4/2015,21.450001,21.620001,21.41,21.440001,17.793839,6281700
5/5/2015,21.35,21.43,20.700001,20.799999,17.262676,11100400
5/6/2015,20.870001,21.09,20.59,21.059999,17.478455,13314300
5/7/2015,21.040001,21.190001,20.9,21.040001,17.461863,11614400
5/8/2015,21.18,21.4,21.07,21.15,17.55315,8717800
